"","movie_id","top_genre"
"1117",1420144,NA
"1118",1419415,NA
"1119",1419067,"Science Fiction"
"1120",1418940,NA
"1121",1418912,NA
"1122",1418911,NA
"1123",1417067,NA
"1124",1417064,NA
"1125",1416453,"Documentary"
"1126",1414864,"Documentary"
"1127",1409131,"Documentary"
"1128",1406201,NA
"1129",1405912,"Documentary"
"1130",1402659,NA
"1131",1401005,NA
"1132",1398118,NA
"1133",1391924,NA
"1134",1391262,"Comedy"
"1135",1390805,NA
"1136",1389780,NA
"1137",1389779,NA
"1138",1388790,"Drama"
"1139",1388706,NA
"1140",1388161,NA
"1141",1386952,"Documentary"
"1142",1385270,NA
"1143",1384949,NA
"1144",1383861,NA
"1145",1383298,"Animation"
"1146",1382263,NA
"1147",1377371,"Music"
"1148",1375794,"Music"
"1149",1375639,"Music"
"1150",1375623,"Music"
"1151",1375231,"Documentary"
"1152",1373622,"Animation"
"1153",1372976,"Family"
"1154",1372001,"TV Movie"
"1155",1369732,NA
"1156",1363383,"Animation"
"1157",1362585,"Animation"
"1158",1358899,"Music"
"1159",1357190,"Horror"
"1160",1355164,NA
"1161",1355037,NA
"1162",1354868,NA
